Name,Category,Address,City,Phone,Website,Hours,X,Y,Confirmed Open,Citation,directions
Get STEMulated,Education,334 Hampton Park Drive,Athens,(706) 308-8881,https://www.getstemulated.com/?fbclid=IwAR2MVWh6DFogRssoisNoapTmV5tmInMvdi45lWcS6JZSQ1HIGm9pqON1ORo,By Appointment,-83.423144,33.953192,Y ,Website active,"https://www.google.com/maps/dir/?api=1&destination=33.953192,-83.423144"
Science Guyz,Education,250 W Broad St #120,Athens,(706) 552-0777,http://www.scienceguyz.com/,"M-Th 2pm-10pm, F 2pm-6pm, Sun 2pm-10pm",-83.37889,33.95707,Y,Google/Website maintained,"https://www.google.com/maps/dir/?api=1&destination=33.95707,-83.37889"
Ellison's Tax Professional Services,Financial Services,1711 Prince Avenue,Athens,(706) 369-7147,http://www.ellisonspro.com/,"Offseason Hours 4/16-1/08: M-F 8:30-5, Sat&Sun Closed; Tax Season Hours 1/10-4/15: M-F 8:30-8:00, Sat. 8:30-4:00, Sunday-Closed (Google Lists these hours, no info on offseason hours)",-83.407286,33.9674,Y,Google/Website maintained,"https://www.google.com/maps/dir/?api=1&destination=33.9674,-83.407286"
Ellison's Insurance Agency,Financial Services,1711 Prince Avenue,Athens,(706) 369-7147,http://www.ellisonspro.com/,Mon-Fri 8:30-5:00,-83.407286,33.9674,Y,Google/Website maintained,"https://www.google.com/maps/dir/?api=1&destination=33.9674,-83.407286"
Lisa Turner- NCR Credit Card Processing Services,Financial Services,110 E Clayton St,Athens,(770) 442-9872,https://www.ncr.com/,Contact for hours,-83.37682,33.958,Closed,https://www.linkedin.com/in/lisa-turner-985837b7,"https://www.google.com/maps/dir/?api=1&destination=33.958,-83.37682"
Sandra Smith Team at Movement Mortgage,Financial Services,525 S Milledge Ave,Athens,(706) 202-9902,https://movement.com/lo/shandra-smith/,Contact for hours,-83.38709,33.949087,Y ,Website,"https://www.google.com/maps/dir/?api=1&destination=33.949087,-83.38709"
Edmonds Enterprises,Financial Services,1127 W Hancock Ave,Athens,(706) 372-7053,N/A,Contact for hours,-83.391873,33.956207,Y,Google,"https://www.google.com/maps/dir/?api=1&destination=33.956207,-83.391873"
"Michele Pearson, Edward Jones Investments and Retirement Advising",Financial Services,"690 Highway 29 N, Suite 100",Athens,(706) 543-7952,https://www.edwardjones.com/financial-advisor/index.html?CIRN=aMZgmtx0pFoi4GonjRX%2F8tmfq%2F7CHYNf21OBukEhY1Mh6A8X%2F1Nu993mELBtY3Sj,M-F 8am-5pm,-83.333855,33.994995,Y ,Website says she still works there,"https://www.google.com/maps/dir/?api=1&destination=33.994995,-83.333855"
Couture Bodies,Fitness,850 Hawthorne Ave,Athens,(706) 224-1189,https://www.couturebodies.com/,Contact for hours,-83.413303,33.963469,Y,Google,"https://www.google.com/maps/dir/?api=1&destination=33.963469,-83.413303"
Fit Body Boot Camp,Fitness,3569 Atlanta Hwy,Athens,(678) 863-7305,https://www.fitbodybootcamp.com/athensfitnessbootcamp/,"M-F 5AM-9:30PM, 3:45 PM-6:30 PM, Sa 8:30 AM-9:30AM",-83.455672,33.938988,Y,Google/Facebook Active,"https://www.google.com/maps/dir/?api=1&destination=33.938988,-83.455672"
Mr Mikes Personal Training,Fitness,213 B Tallassee Rd,Athens,(706) 424-9378,https://www.facebook.com/pg/Mr.MikeTheBest/about/?ref=page_internal,8am-8pm,-83.431379,33.966242,Y,Google/Facebook Active,"https://www.google.com/maps/dir/?api=1&destination=33.966242,-83.431379"
Barnett's Taekwondo,Fitness,2250 S Barnett Shoals Rd,Athens,(706) 543-9966,https://www.facebook.com/Barnett-Tae-Kwon-DO-Academy-113388688693547/,"M-F 4 PM - 10:30 PM, Sat 9 AM - 10:30 PM",-83.342235,33.920817,Y ,Google,"https://www.google.com/maps/dir/?api=1&destination=33.861463,-83.365522"
Jackson-McWhorter Funeral Home,Funeral Homes,1253 W Broad St,Athens,(706) 543-3623,http://www.jacksonmcwhorterfuneralhome.com/,24 hour on call service,-83.392831,33.953535,Y,Google/Website maintained,"https://www.google.com/maps/dir/?api=1&destination=33.953535,-83.392831"
Winfrey's Mutual Funeral Home,Funeral Homes,390 Glenhaven Ave,Athens,(706) 548-4246,http://www.winfreymutualfuneralhome.com/,24 hour on call service,-83.3978,33.953645,Y,Google/Website maintained,"https://www.google.com/maps/dir/?api=1&destination=33.953645,-83.3978"
Mack & Payne Funeral Home,Funeral Homes,625 Nellie B Ave,Athens,(706) 543-8213,http://www.mackandpaynefuneralhome.org/,9a-5p,-83.344944,33.956078,Y,Google/Website maintained,"https://www.google.com/maps/dir/?api=1&destination=33.956078,-83.344944"
Gardenview Funeral Chapel,Funeral Homes,605 Olympic Dr,Athens,(706) 546-1125,http://gardenviewfuneralchapel.com,By appointment,-83.344725,33.967489,Y,Google/Website maintained,"https://www.google.com/maps/dir/?api=1&destination=33.967489,-83.344725"
Athens West Dental,Healthcare,10 Huntington Rd,Athens,(706) 543-7262,https://www.facebook.com/pages/category/Dentist---Dental-Office/West-Athens-Dental-Center-1405250513109387/,By appointment,-83.46787,33.93677,Y,Facebook active,"https://www.google.com/maps/dir/?api=1&destination=33.93677,-83.46787"
Dr. DuBose Family Dentistry (East Athens Family Dentistry),Healthcare,348 Oak St,Athens,(706) 543-6505,https://eastathensfamilydentistry.com/,"F, M, T, R: 8-5. Wed: 9-5",-83.36425,33.952222,Y,Google/Website maintained,"https://www.google.com/maps/dir/?api=1&destination=33.952222,-83.36425"
Dr McRae Family Dentistry,Healthcare,995 Baxter St,Athens,(706) 546-8480,https://www.drmcrae.com,"M-Tues: 7am-5pm, W-R: 7am-7pm,  Fri: 7a-3p, Sat & Sun: closed",-83.391156,33.94828,Y,Google/Website maintained,"https://www.google.com/maps/dir/?api=1&destination=33.94828,-83.391156"
"LaKeisha Gantt, LPC",Healthcare,610 Epps Bridge Parkway,Athens,(706) 389-8207,http://www.lakeishaganttlpc.com,By appointment,-83.439005,33.931912,Y , https://coe.uga.edu/news/2018/06/alumna-takes-wide-angle-approach-to-new-role-on-school-board https://www.piedmont.edu/faculty-and-staff/view/443 seems like she is now a professor at Piedmont college,"https://www.google.com/maps/dir/?api=1&destination=33.931912,-83.439005"
Next Level Care,Healthcare,485 Huntington Rd,Athens,(404) 500-9195,http://nextlevelcarellc.com/,M-F 9am - 6pm,-83.464909,33.946649,Y,Google/Website maintained,"https://www.google.com/maps/dir/?api=1&destination=33.946649,-83.464909"
Your Therapist Counseling Services,Healthcare,405 Gaines School Rd c4,Athens,(706) 389-9855,https://www.iamyourtherapist.com/,"M-F, 9AM-6PM",-83.327577,33.934332,Y,Website Active,"https://www.google.com/maps/dir/?api=1&destination=33.934332,-83.327577"
Green & Green,Law,1127 W Hancock Ave,Athens,(706) 227-4294,http://www.greenandgreenatlaw.com/,24/7,-83.391874,33.956208,Y,Google/Website maintained,"https://www.google.com/maps/dir/?api=1&destination=33.956208,-83.391874"
Hull Firm,Law,3720 Atlanta Hwy Suite 3,Athens,(706) 395-5303,https://www.thehullfirmllc.com/,"M-R: 9:00-5:00pm, F 9a-12p",-83.387027,33.951867,Y,Google/Website maintained,"https://www.google.com/maps/dir/?api=1&destination=33.951867,-83.387027"
Ken Dious and Associates,Law,115 Sycamore Dr # B1,Athens,(706) 546-9013,http://www.kendiouslaw.com/,M-F 9:00-7:00,-83.417495,33.948276,Y,Google/Website maintained,"https://www.google.com/maps/dir/?api=1&destination=33.948276,-83.417495"
Sherri Ellison,Law,1711 Prince Ave,Athens,(706) 369-7147,https://www.lawyers.com/athens/georgia/sherry-l-jackson-ellison-854610-a/,M-F 9a-5p,-83.407318,33.967388,Y,Google,"https://www.google.com/maps/dir/?api=1&destination=33.967388,-83.407318"
Precision Cuts Lawn Care,Lawn Maintenance,103 Colleton Drive,Athens,(706) 206-2964,N/A,Contact for hours,-83.441108,33.935209,Y,No Google Listing with matching phone/address,"https://www.google.com/maps/dir/?api=1&destination=33.935209,-83.441108"
WXAG 1470 am 92.7 FM,Media,855 Sunset Dr,Athens,(706) 552-1470,https://www.facebook.com/wxagathensga/?rf=855958864499397,Contact for hours,-83.41001,33.968308,Y,Google/Facebook Active,"https://www.google.com/maps/dir/?api=1&destination=33.968308,-83.41001"
Enlightened Media Productions,Media,585 Vine Street,Athens,(706) 380-5151,http://enlightenedmediaproductions.com/#about,Contact for hours,-83.354736,33.955866,Y,Website Active ,"https://www.google.com/maps/dir/?api=1&destination=33.955866,-83.354736"
Zebra Magazine,Media,297 Davis Street,Athens,(706) 353-4009,http://www.zebraoccasions.com/magazine/4594023678,Contact for hours,-83.3859,33.92277,Y,Website active,"https://www.google.com/maps/dir/?api=1&destination=33.92277,-83.3859"
Rucker Family Amusement Inflatables,Party Rentals and Entertainment,27 Pine Ln Dr,Athens,(706) 340-7215,https://ruckerfamilyamusement.com/,24/7 ,-83.356865,33.996033,Y,Website Active ,"https://www.google.com/maps/dir/?api=1&destination=33.996033,-83.356865"
Fin Alley,Pet Sitting/Pet Store,"1095 Baxter St, Athens, GA 30606",Athens,(706) 850-8433,https://www.facebook.com/finalleyllc/,Monday 3pm-7pm Tuesday - Sat 10am - 7pm Sunday  12-5,-83.402089,33.946115,Y,Google/Facebook Active,"https://www.google.com/maps/dir/?api=1&destination=33.946115,-83.402089"
Three’s Company,Pet Sitting/Pet Store,410 Athens Ave,Athens,(706) 250-1160,N/A,Contact for hours,-83.383896,33.970078,Y,https://www.care.com/b/l/three-s-company-in-home-pet-sitting/athens-ga,"https://www.google.com/maps/dir/?api=1&destination=33.970078,-83.383896"
A-Y Drywall,Home repair and maintenance,160 Marlborough Downs Rd,Athens,(706) 352-7712,N/A,Contact for hours,-83.34606,33.96043,Y,"No online presence, check location/call","https://www.google.com/maps/dir/?api=1&destination=33.96043,-83.34606"
A Green - Residential and Commercial Wiring,Home repair and maintenance,240 Ferncliff Dr,Athens ,(706) 850-5088,N/A,Contact for hours,-83.43219,33.95396,Y,http://www.buzzfile.com/business/A.green-Wiring-L.L.C.-706-850-5088,"https://www.google.com/maps/dir/?api=1&destination=33.95396,-83.43219"
Barnetts Flooring and Construction,Home repair and maintenance,200 Spring Cir,Athens,(404)-202-7211,https://www.superpages.com/bp/athens-ga/barnetts-flooring-construction-L2708288843.htm,Contact for hours,-83.347427,33.961281,Y ,"No active internet presence, confirm via alternatives","https://www.google.com/maps/dir/?api=1&destination=33.961281,-83.347427"
Coast 2 Coast Moves,Home repair and maintenance,300 Sarah Dr.,Athens,(770) 256-6741,https://www.facebook.com/c2cmove/,Contact for hours,-83.433994,33.969651,Y,Google  ,"https://www.google.com/maps/dir/?api=1&destination=33.969651,-83.433994"
Cole Cleaning Service,Home repair and maintenance,200 Claystone Trace,Athens ,(706) 380-3646,https://www.facebook.com/colecleaningservice/,M-R 7 AM-8:30PM,-83.453386,33.964696,Y,Website Active ,"https://www.google.com/maps/dir/?api=1&destination=33.964696,-83.453386"
Payne Construction,Home repair and maintenance,145 Walker Dr,Athens,(706) 552-3911 ex.103,https://www.cityfos.com/company/PAYNE-CONSTRUCTION-COMMERCIAL-in-ATHENS-GA-13209.htm,varies,-83.35249,33.993727,Y,Google  ,"https://www.google.com/maps/dir/?api=1&destination=33.993727,-83.35249"
Smiths Heating and Air,Home repair and maintenance,120 Wesley Dr,Athens,(706) 548-9606,http://www.smithheatingandairservice.com/,"Avaliable for emergency service 24/7, Normal Service M-F 8-6, Sat 8-1.",-83.28216,33.92061,Y,Google/Website maintained,"https://www.google.com/maps/dir/?api=1&destination=33.92061,-83.28216"
Howard Janitorial Services,Home repair and maintenance,355 Camelot Dr,Athens,(762) 499-0106,https://www.howardjanitorial.net/,By appointment,-83.440274,33.98197,Y,Website Active,"https://www.google.com/maps/dir/?api=1&destination=33.98197,-83.440274"
Sterling Coverings,Home repair and maintenance,1129 Oak Grove Rd,Athens,(706) 621-5919,https://www.facebook.com/Sterlingcoverings/,M-F 9-5,-83.440443,34.013372,Y,Website Active,"https://www.google.com/maps/dir/?api=1&destination=34.013372,-83.440443"
African and Asian Grocery,Restaurant/Ice Cream,50 Gaines School Road,Athens,(678) 698-7723,N/A,Mon-Sat 9-9,-83.3242845,33.9384695,Closed,Yelp,"https://www.google.com/maps/dir/?api=1&destination=33.9384695,-83.3242845"
Dawg Gone Good Barbeque,Restaurant/Ice Cream,224 W Hancock Ave,Athens,(706) 613-9799,https://www.dawggonegoodbbq.com/#/,T-Sa 11a-7p. M 11a-6p,-83.379357,33.959669,Y,Google/Facebook Active,"https://www.google.com/maps/dir/?api=1&destination=33.959669,-83.379357"
JR Crickets,Restaurant/Ice Cream,810 Hawthorne Ave,Athens,(706) 850-9800,jrcrickets.com,"M-Sat, 1-9 PM, Sun closed",-83.413546,33.963085,Y,Google/Website maintained,"https://www.google.com/maps/dir/?api=1&destination=33.963085,-83.413546"
Food for the Soul,Restaurant/Ice Cream,1965 W Broad St,Athens,(706) 546-0052,N/A,"Tues-R, 10:30am-4pm, Fri & Sun 10:30a-5p, Sat and Mon: closed",-83.402585,33.950978,Y,Google/Facebook Active,"https://www.google.com/maps/dir/?api=1&destination=33.950978,-83.402585"
Kelly's Jamaican Food,Restaurant/Ice Cream,1583 S Lumpkin,Athens,(706) 208-0000,https://www.facebook.com/Kellys-Authentic-Jamaican-Food-333515583330794/about/?ref=page_internal&path=%2FKellys-Authentic-Jamaican-Food-333515583330794%2Fabout%2F,"Tue-Fri 11-10 Sat 12-10, Sun 12-9",-83.3859709,33.9397815,Y,Google/Facebook Active,"https://www.google.com/maps/dir/?api=1&destination=33.9397815,-83.3859709"
Lil Ice Cream Dude,Restaurant/Ice Cream,"1040 Gaines School Road #218,",Athens,(706) 850-8306,https://www.lilicecreamdude.com/,"12-8pm M-Sat, 1-7pm Sun. Also avaliable for events.",-83.337563,33.927792,Y,Google/Website maintained,"https://www.google.com/maps/dir/?api=1&destination=33.927792,-83.337563"
Mannaweenta (Eritrean / Ethiopian),Restaurant/Ice Cream,1055 Gaines School Rd #107,Athens,(706) 850-8422,https://www.facebook.com/Mannaweenta-EthiopianEritrean-Restaurant-1663829300568536/,T-Sat 11am-7pm Closed M & Sun.,-83.3367727,33.9264383,Y,Google,"https://www.google.com/maps/dir/?api=1&destination=33.9264383,-83.3367727"
Rashe's Jamaican Cuisine,Restaurant/Ice Cream,"585 Vine St, Suite 3",Athens,(706) 850-4164,https://rashecuisine.com/,Wednesday 11:00 am - 5:00 pm and Thursday - Saturday 11:00 am - 9:00 pm (currently only open for delivery),-83.36424,33.952221,Y,Google/Facebook Active,"https://www.google.com/maps/dir/?api=1&destination=33.952221,-83.36424"
Weaver D's,Restaurant/Ice Cream,1016 E. Broad Street,Athens,(706) 353-7797,http://weaverds.com/,M-Sat 11:00am-6:00pm,-83.367306,33.958545,Y,Google/Website maintained,"https://www.google.com/maps/dir/?api=1&destination=33.958545,-83.367306"
Adam’s Vending/Adams Management Group,Retail/Shops, 429 River Chase Drive,Athens ,(706) 546-4889,N/A,Contact for hours,-83.321584,33.898979,Y,https://www.manta.com/c/mt96yj4/adams-vending#contact,"https://www.google.com/maps/dir/?api=1&destination=33.898979,-83.321584"
Bertram’s,Retail/Shops,3701 Atlanta Hwy- Suite 1,Athens ,(229) 296-8745,https://www.facebook.com/pages/category/Business-Service/Bertrams-Exclusives-741175405992569/,11:00AM-2PM,-83.465816,33.939982,Y,Website Active ,"https://www.google.com/maps/dir/?api=1&destination=33.939982,-83.465816"
Vendi Cru ,Retail/Shops,3701 Atlanta Hwy Suite 40,Athens ,(706) 850-6636,https://vendicru.com/?fbclid=IwAR0MjpPgnh_0I5BR_UuNqpwKcud2UQyYO1je4cUgRigyVwmy9AUKbSeNcTA,"Tues-Thur 10am-5pm, F-Sat 10am-6pm",-83.465816,33.939982,,,"https://www.google.com/maps/dir/?api=1&destination=33.939982,-83.465816"
Culbreth's Jewelers,Retail/Shops,3190 Atlanta Hwy #16,Bogart,(706) 613-5409,https://www.facebook.com/ed.t.culbreth,M-Sat 9a-6p,-83.449397,33.94223,Y,Website Active ,"https://www.google.com/maps/dir/?api=1&destination=33.94223,-83.449397"
"Life Transition, Inc.",Social Work,1150 Dearing Ext # A,Athens,(706) 583-8828,N/A,Contact for hours,-83.39975,33.951221,Y,Google ,"https://www.google.com/maps/dir/?api=1&destination=33.951221,-83.39975"
Social Empowerment Center,Social Work,465 Huntington Road,Athens,(706) 395-6020,http://listings.findthecompany.com/l/752633288/Social-Empowerment-Center,M-F 9am-5pm,-83.464294,33.946121,Y,Google,"https://www.google.com/maps/dir/?api=1&destination=33.946121,-83.464294"
"Free Radical Labs, LLC",Tech/Cellular,400 Ashton Drive,Athens,(706) 850-6888,https://freeradicallabs.com/,Variable,-83.433408,33.978053,Y,Google/Website maintained,"https://www.google.com/maps/dir/?api=1&destination=33.978053,-83.433408"
Bulldog Mobile Repair,Tech/Cellular,"125 S Milledge Ave, Suite C",Athens ,(706) 521-8802,https://m.facebook.com/bulldogmobilerepair/,"M-Sat 11AM-7PM, Sun 12AM-5PM",-83.387993,33.954761,Y,Website Active ,"https://www.google.com/maps/dir/?api=1&destination=33.954761,-83.387993"
Nedra Sells Real Estate,Real Estate,1361 Jennings Mill Ste 101,Watkinsville,(706) 207-2082,https://m.facebook.com/Nedra-Sells-Real-Estate-306336433221996/,Always Open,-83.462431,33.918743,Y,Website Active ,"https://www.google.com/maps/dir/?api=1&destination=33.918743,-83.462431"
Blessed Babe,Tailoring,"10 Simonton Bridge Rd, Ste B",Watkinsville,(706) 424-5640,https://www.blessedbabesewingstudio.com/,"M: 4-8:30PM, T 4:30-6:30PM, R: 9-11AM, 4-6PM, F:4-6PM Sat: Closed except for events, Sun & W: Closed",-83.407372,33.862461,Y,Website Active ,"https://www.google.com/maps/dir/?api=1&destination=33.862461,-83.407372"
Clint Brown/Gravity Innovative Solutions,Consulting,115 Wolfe Lane ,Athens ,(678) 933-5027,https://gravity-innovative-solution.ueniweb.com/?fbclid=IwAR0LmjpB1tFV0xjbdF4Vsv2ClERbLmsIxSztDAFz7oSmVtC50I857C-Edj8#header,Contact for hours,-83.340945,33.899056,Y,Website Active ,"https://www.google.com/maps/dir/?api=1&destination=33.899056,-83.340945"
